realtime_start,realtime_end,date,value
2026-09-18,2026-09-18,1992-08-01,0.2008
2026-09-18,2026-09-18,1992-09-01,0.204
2026-09-18,2026-09-18,1992-10-01,0.2103
2026-09-18,2026-09-18,1992-11-01,0.2149
2026-09-18,2026-09-18,1992-12-01,0.2146
2026-09-18,2026-09-18,1993-01-01,0.2128
2026-09-18,2026-09-18,1993-02-01,0.215
2026-09-18,2026-09-18,1993-03-01,0.2176
2026-09-18,2026-09-18,1993-04-01,0.2182
2026-09-18,2026-09-18,1993-05-01,0.2212
2026-09-18,2026-09-18,1993-06-01,0.2254
2026-09-18,2026-09-18,1993-07-01,0.2269
2026-09-18,2026-09-18,1993-08-01,0.2303
2026-09-18,2026-09-18,1993-09-01,0.2332
2026-09-18,2026-09-18,1993-10-01,0.236
2026-09-18,2026-09-18,1993-11-01,0.2399
2026-09-18,2026-09-18,1993-12-01,0.2475
2026-09-18,2026-09-18,1994-01-01,0.2558
2026-09-18,2026-09-18,1994-02-01,0.2601
2026-09-18,2026-09-18,1994-03-01,0.2706
2026-09-18,2026-09-18,1994-04-01,0.2861
2026-09-18,2026-09-18,1994-05-01,0.2958
2026-09-18,2026-09-18,1994-06-01,0.3017
2026-09-18,2026-09-18,1994-07-01,0.3114
2026-09-18,2026-09-18,1994-08-01,0.3214
2026-09-18,2026-09-18,1994-09-01,0.3338
2026-09-18,2026-09-18,1994-10-01,0.3459
2026-09-18,2026-09-18,1994-11-01,0.3574
2026-09-18,2026-09-18,1994-12-01,0.3717
2026-09-18,2026-09-18,1995-01-01,0.3842
2026-09-18,2026-09-18,1995-02-01,0.3956
2026-09-18,2026-09-18,1995-03-01,0.4131
2026-09-18,2026-09-18,1995-04-01,0.4298
2026-09-18,2026-09-18,1995-05-01,0.4461
2026-09-18,2026-09-18,1995-06-01,0.4564
2026-09-18,2026-09-18,1995-07-01,0.4639
2026-09-18,2026-09-18,1995-08-01,0.4874
2026-09-18,2026-09-18,1995-09-01,0.5123
2026-09-18,2026-09-18,1995-10-01,0.5304
2026-09-18,2026-09-18,1995-11-01,0.5456
2026-09-18,2026-09-18,1995-12-01,0.5774
2026-09-18,2026-09-18,1996-01-01,0.6106
2026-09-18,2026-09-18,1996-02-01,0.6485
2026-09-18,2026-09-18,1996-03-01,0.6694
2026-09-18,2026-09-18,1996-04-01,0.6876
2026-09-18,2026-09-18,1996-05-01,0.7103
2026-09-18,2026-09-18,1996-06-01,0.7316
2026-09-18,2026-09-18,1996-07-01,0.7598
2026-09-18,2026-09-18,1996-08-01,0.7907
2026-09-18,2026-09-18,1996-09-01,0.826
2026-09-18,2026-09-18,1996-10-01,0.8684
2026-09-18,2026-09-18,1996-11-01,0.8948
2026-09-18,2026-09-18,1996-12-01,0.9159
2026-09-18,2026-09-18,1997-01-01,0.9429
2026-09-18,2026-09-18,1997-02-01,0.9967
2026-09-18,2026-09-18,1997-03-01,1.0395
2026-09-18,2026-09-18,1997-04-01,1.0692
2026-09-18,2026-09-18,1997-05-01,1.1181
2026-09-18,2026-09-18,1997-06-01,1.1529
2026-09-18,2026-09-18,1997-07-01,1.179
2026-09-18,2026-09-18,1997-08-01,1.2498
2026-09-18,2026-09-18,1997-09-01,1.3198
2026-09-18,2026-09-18,1997-10-01,1.365
2026-09-18,2026-09-18,1997-11-01,1.4137
2026-09-18,2026-09-18,1997-12-01,1.4567
2026-09-18,2026-09-18,1998-01-01,1.4953
2026-09-18,2026-09-18,1998-02-01,1.5108
2026-09-18,2026-09-18,1998-03-01,1.5567
2026-09-18,2026-09-18,1998-04-01,1.6255
2026-09-18,2026-09-18,1998-05-01,1.6612
2026-09-18,2026-09-18,1998-06-01,1.7416
2026-09-18,2026-09-18,1998-07-01,1.8443
2026-09-18,2026-09-18,1998-08-01,1.9499
2026-09-18,2026-09-18,1998-09-01,2.0754
